,full_title,latitude,longitude
237,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
238,"calle maría martínez oviol, 11, Los Rosales, Madrid",40.3507241,-3.6913957
239,"calle de Paterna, 48, San Cristóbal, Madrid",40.3413681,-3.6840847
240,"plaza Pinazo, 27, San Cristóbal, Madrid",40.3442088,-3.6917032
241,"calle Pan y Toros, 3, Los Ángeles, Madrid",40.3608361,-3.6943657
242,"calle Tántalo, 10, Butarque, Madrid",40.3523635,-3.6814088
243,"calle Selma Lagerloff, 15, Los Rosales, Madrid",40.3544635,-3.6875942
244,"calle Berrocal, 10, Butarque, Madrid",40.3360941,-3.6774942
245,"calle de Godella, 227, San Cristóbal, Madrid",40.3431721,-3.6890907
246,"calle Pimienta, 4, Los Ángeles, Madrid",40.35008175,-3.6962195287500004
247,"calle de Godella, 219, San Cristóbal, Madrid",40.3431721,-3.6890907
248,"calle Azufre, 3, Los Rosales, Madrid",40.349198,-3.6857459
249,"calle Pan y Toros, 10, Los Ángeles, Madrid",40.359687050000005,-3.6949300005031027
250,"calle de Juan José Martínez Seco, 11, Los Rosales, Madrid",40.3516003,-3.6926224
251,"calle Berrocal, 3, Butarque, Madrid",40.3360941,-3.6774942
252,"San Cristóbal, Villaverde, Madrid",40.3433537,-3.6878175
253,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
254,"San Cristóbal, Villaverde, Madrid",40.3433537,-3.6878175
255,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
256,"calle de Paterna, 17, San Cristóbal, Madrid",40.3413681,-3.6840847
257,"travesía Arechavaleta, 2, Los Ángeles, Madrid",40.351006,-3.697818865293204
258,"calle Uranio, 9, Butarque, Madrid",40.3548912,-3.6811226
259,"calle Turba, 1, Los Rosales, Madrid",40.3488043,-3.6853658
260,"calle Eduardo Maristany, 1, Butarque, Madrid",40.3531696,-3.6831755
261,"calle de Rocafort, 25, San Cristóbal, Madrid",40.3412537,-3.6864471
262,"avenida de la Verbena de la Paloma, 10, Los Ángeles, Madrid",40.359715050000005,-3.696647901950831
263,"calle Manojo de Rosas, 19, Los Ángeles, Madrid",40.3607602,-3.6960666041522816
264,"calle Villarramiel, 5, Los Rosales, Madrid",40.3525891,-3.6854967
265,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
266,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
267,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
268,"calle Doña Francisquita, 5, Los Ángeles, Madrid",40.355595,-3.698661900241306
269,"calle de Juan José Martínez Seco, Los Rosales, Madrid",40.3516003,-3.6926224
270,"calle de Juan José Martínez Seco, Los Rosales, Madrid",40.3516003,-3.6926224
271,"beniferri, San Cristóbal, Madrid",40.3443699,-3.6909654
272,"calle alcocer, Los Ángeles, Madrid",40.3492379,-3.6995254
273,"calle Villajoyosa, 65, Los Rosales, Madrid",40.3559307,-3.690527
274,"calle de Juan José Martínez Seco, Los Rosales, Madrid",40.3516003,-3.6926224
275,"huesped del sevillano, 21, Los Ángeles, Madrid",40.356593399999994,-3.6992999500000017
276,"calle María de Echarri, 1, Los Rosales, Madrid",40.3584213,-3.6829116
277,"calle de Godella, 100, San Cristóbal, Madrid",40.3410279,-3.6865538
